Date,SPX_Close,VIX_Close
2010-01-04,1132.98999,20.040001
2010-01-05,1136.52002,19.35
2010-01-06,1137.140015,19.16
2010-01-07,1141.689941,19.059999
2010-01-08,1144.97998,18.129999
2010-01-11,1146.97998,17.549999
2010-01-12,1136.219971,18.25
2010-01-13,1145.680054,17.85
2010-01-14,1148.459961,17.629999
2010-01-15,1136.030029,17.91
2010-01-19,1150.22998,17.58
2010-01-20,1138.040039,18.68
2010-01-21,1116.47998,22.27
2010-01-22,1091.76001,27.309999
2010-01-25,1096.780029,25.41
2010-01-26,1092.170044,24.549999
2010-01-27,1097.5,23.139999
2010-01-28,1084.530029,23.73
2010-01-29,1073.869995,24.620001
2010-02-01,1089.189941,22.59
2010-02-02,1103.319946,21.48
2010-02-03,1097.280029,21.6
2010-02-04,1063.109985,26.08
2010-02-05,1066.189941,26.110001
2010-02-08,1056.73999,26.51
2010-02-09,1070.52002,26.0
2010-02-10,1068.130005,25.4
2010-02-11,1078.469971,23.959999
2010-02-12,1075.51001,22.73
2010-02-16,1094.869995,22.25
2010-02-17,1099.51001,21.719999
2010-02-18,1106.75,20.629999
2010-02-19,1109.170044,20.02
2010-02-22,1108.01001,19.940001
2010-02-23,1094.599976,21.370001
2010-02-24,1105.23999,20.27
2010-02-25,1102.939941,20.1
2010-02-26,1104.48999,19.5
2010-03-01,1115.709961,19.26
2010-03-02,1118.310059,19.059999
2010-03-03,1118.790039,18.83
2010-03-04,1122.969971,18.719999
2010-03-05,1138.699951,17.42
2010-03-08,1138.5,17.790001
2010-03-09,1140.449951,17.92
2010-03-10,1145.609985,18.57
2010-03-11,1150.23999,18.059999
2010-03-12,1149.98999,17.58
2010-03-15,1150.51001,18.0
2010-03-16,1159.459961,17.690001
2010-03-17,1166.209961,16.91
2010-03-18,1165.829956,16.620001
2010-03-19,1159.900024,16.969999
2010-03-22,1165.810059,16.870001
2010-03-23,1174.170044,16.35
2010-03-24,1167.719971,17.549999
2010-03-25,1165.72998,18.4
2010-03-26,1166.589966,17.77
2010-03-29,1173.219971,17.59
2010-03-30,1173.27002,17.129999
2010-03-31,1169.430054,17.59
2010-04-01,1178.099976,17.469999
2010-04-05,1187.439941,17.02
2010-04-06,1189.439941,16.23
2010-04-07,1182.449951,16.620001
2010-04-08,1186.439941,16.48
2010-04-09,1194.369995,16.139999
2010-04-12,1196.47998,15.58
2010-04-13,1197.300049,16.200001
2010-04-14,1210.650024,15.59
2010-04-15,1211.670044,15.89
2010-04-16,1192.130005,18.360001
2010-04-19,1197.52002,17.34
2010-04-20,1207.170044,15.73
2010-04-21,1205.939941,16.32
2010-04-22,1208.670044,16.469999
2010-04-23,1217.280029,16.620001
2010-04-26,1212.050049,17.469999
2010-04-27,1183.709961,22.809999
2010-04-28,1191.359985,21.08
2010-04-29,1206.780029,18.440001
2010-04-30,1186.689941,22.049999
2010-05-03,1202.26001,20.190001
2010-05-04,1173.599976,23.84
2010-05-05,1165.869995,24.91
2010-05-06,1128.150024,32.799999
2010-05-07,1110.880005,40.950001
2010-05-10,1159.72998,28.84
2010-05-11,1155.790039,28.32
2010-05-12,1171.670044,25.52
2010-05-13,1157.439941,26.68
2010-05-14,1135.680054,31.24
2010-05-17,1136.939941,30.84
2010-05-18,1120.800049,33.549999
2010-05-19,1115.050049,35.32
2010-05-20,1071.589966,45.790001
2010-05-21,1087.689941,40.099998
2010-05-24,1073.650024,38.32
2010-05-25,1074.030029,34.610001
2010-05-26,1067.949951,35.02
2010-05-27,1103.060059,29.68
2010-05-28,1089.410034,32.07
2010-06-01,1070.709961,35.540001
2010-06-02,1098.380005,30.17
2010-06-03,1102.829956,29.459999
2010-06-04,1064.880005,35.48
2010-06-07,1050.469971,36.57
2010-06-08,1062.0,33.700001
2010-06-09,1055.689941,33.73
2010-06-10,1086.839966,30.57
2010-06-11,1091.599976,28.790001
2010-06-14,1089.630005,28.58
2010-06-15,1115.22998,25.870001
2010-06-16,1114.609985,25.92
2010-06-17,1116.040039,25.049999
2010-06-18,1117.51001,23.950001
